EQDIR,FixtureID,LoadCellID,EQDate,EQDIR_Ref,FixtureID_Ref,LoadCellID_Ref
8047073,M11041,Q12534,11-May-23,8047646,M12032,Q13237
8047168,M11045,Q12538,21-Apr-23,,M11043,Q12536
8047646,M12032,Q13237,22-Jun-23,,M11042,Q12534
8048339,M11041,Q12534,16-Aug-23,8047646,M12032,Q13237
8049455,M12033,Q11421,7-Nov-23,8048339,M11041,Q12534
8050930,M11041,Q12534,28-Feb-24,8049455,M12033,Q11421
,,,,,,
,M9112???,Q10375???,,,,
8026114,M9392,Q11420,21-Aug-18,ORIGINAL,M9112,Q10375
8027547,M10079,Q11473,27-Dec-18,ORIGINAL,M9112,Q10375
8033963,M9392,Q11420,19-Aug-20,ORIGINAL,M9393,Q12481
8034516,M11040,Q12533,22-Sep-20,8033963,M9392,Q11420
8035427,M9393,Q12481,16-Nov-20,8034516,M11040,Q12533
8036597,M9392,Q11420,25-Feb-21,8035427,M9393,Q12481
8036802,M11040,Q12533,5-Mar-21,8035427,M9393,Q12481
8037938,M9392,Q13356,27-May-21,8036802,M11040,Q12533
8038709,M11044,Q12537,4-Aug-21,,M11042,Q12535
8038866,M9393,Q11420,18-Aug-21,8038709,M11044,Q12537
8039140,M11044,Q12537,8-Sep-21,8038866,M9393,Q11420
8039141,M9393,Q11420,9-Sep-21,8038709,M11044,Q12537
8039342,M10079,Q11473,27-Sep-21,,M11042,Q12535
8039652,M9393,Q11420,15-Oct-21,8039140,M11044,Q12537
8040571,M9393,Q13356,5-Jan-22,8036802,M11044,Q12537
8041420,M11044,Q12537,25-Feb-22,8036802,M11040,Q12533
8041697,M9393,Q13356,18-Mar-22,8041420,M11044,Q12537
8041786,M11042,Q12535,23-May-22,,M9392,Q12481
8042624,M11040,Q11420,27-May-22,8041420,M11044,Q12537
8042624,M9393,Q12533,27-May-22,8041420,M11044,Q12537
8043130,M9392,Q12481,14-Jul-22,8041786,M11042,Q12535
8043202,M9149,Q13263,29-Jul-22,8042624,M9393,Q12533
8044224,M11040,Q12533,28-Sep-22,8042624,M9393,Q13356
8044631,M9112,Q10375,26-Sep-23,,M10079,Q11473
8044769,M9147,Q13261,15-Nov-22,8042624,M9393,Q13356
8044899,M11040,Q12537,23-Nov-22,8042624,M9393,Q13356
8045522,M9393,Q12533,17-Jan-23,8044899,M11040,Q12537
8045624,M9149,Q13262,22-Dec-22,8044899,M11040,Q12537
8046590,M9112,Q10375,27-Mar-23,,M10079,Q11473
8047075,M11044,Q11420,15-May-23,8045522,M9393,Q12533
8047176,M9148,Q13261,20-May-23,8045522,M9393,Q12533
8047331,M10079,Q11473,1-Jun-23,8046590,M9112,Q10375
8047698,M9392,Q12535,23-May-23,8047075,M11044,Q11420
8048423,M11042,Q14675,23-Aug-23,8047331,M11079,Q11473
8048540,M9393,Q14564,31-Aug-23,8047176,M9148,Q13261
8048580,M9149,Q13262,7-Sep-23,8048540,M9393,Q14564
8049805,M9148,Q13261,6-Dec-23,8048540,M9393,Q14564
8049847,M13688,Q13356,8-Dec-23,8048540,M9393,Q14564
8050016,M10079,Q11473,22-Dec-23,8048540,M9393,Q14564
8050721,M9393,Q12533,12-Feb-24,8049847,M13688,Q13356
8050726,M9392,Q12537,6-Feb-24,8047331,M10079,Q11473
8050726,M11040,Q12538,6-Feb-24,8047331,M10079,Q11473
8051249,M11042,Q12481,20-Mar-24,8050726,M11040,Q12538
8051584,M13688,Q14564,5-Feb-24,8045522,M9393,Q12533
8051584,M13688,Q14564,5-Apr-24,8050721,M9393,Q12533
,,,,,,
8037493,M10908,Q12479,27-Apr-21,,M7701,Q9457
8038141,M10909,Q12477,18-Aug-21,,M7704,Q9454
8038907,M7701,Q9457,18-Aug-21,,M7704,Q9454
8039259,M10912,Q12478,3-Sep-21,,M7699,Q9455
8039632,M7704,Q9454,11-Oct-21,8038907,M7701,Q9457
8039705,M12122,Q9310,3-Nov-21,8038141,M10909,Q12477
8040291,M10908,Q12479,2-Dec-21,8038907,M7701,Q9457
8040293,M7699,Q9456,2-Dec-21,8039259,M10912,Q12478
8040618,M10909,Q12477,7-Jan-22,8039705,M12122,Q9310
8041904,M10912,Q12478,1-Apr-22,8040293,M7699,Q9459
8042076,M7704,Q9310,18-Apr-22,8040291,M10908,Q12479
8044019,M12122,Q12479,14-Sep-22,8042076,M7704,Q9310
8044147,M10911,Q9455,15-Aug-22,8041904,M10912,Q12478
